round,request,status,node,http_code,curl_rc,duration_ms,error
1,2,OK,idm2,200,0,167.207,
1,6,OK,idm2,200,0,159.519,
1,7,OK,idm2,200,0,142.302,
1,5,OK,idm2,200,0,108.664,
1,3,OK,idm2,200,0,165.387,
1,1,OK,idm2,200,0,128.024,
1,4,OK,idm2,200,0,118.079,
1,8,OK,idm2,200,0,142.875,
1,9,OK,idm2,200,0,188.922,
1,10,OK,idm2,200,0,214.263,
1,12,OK,idm2,200,0,185.948,
1,14,OK,idm2,200,0,213.398,
1,18,OK,idm2,200,0,197.641,
1,17,OK,idm2,200,0,208.197,
1,11,OK,idm2,200,0,283.003,
1,15,OK,idm2,200,0,251.717,
1,27,OK,idm2,200,0,193.798,
1,26,OK,idm2,200,0,207.999,
1,25,OK,idm2,200,0,220.35,
1,20,OK,idm2,200,0,250.465,
1,13,OK,idm2,200,0,301.776,
1,28,OK,idm2,200,0,222.263,
1,19,OK,idm2,200,0,277.341,
1,22,OK,idm2,200,0,271.331,
1,29,OK,idm2,200,0,193.611,
1,16,OK,idm2,200,0,320.908,
1,21,OK,idm2,200,0,292.529,
1,24,OK,idm2,200,0,310.306,
1,31,OK,idm2,200,0,199.904,
1,23,OK,idm2,200,0,313.406,
1,34,OK,idm2,200,0,179.666,
1,32,OK,idm2,200,0,216.564,
1,33,OK,idm2,200,0,230.57,
1,36,OK,idm2,200,0,207.811,
1,38,OK,idm2,200,0,194.481,
1,37,OK,idm2,200,0,204.138,
1,30,OK,idm2,200,0,341.61,
1,39,OK,idm2,200,0,235.962,
1,42,OK,idm2,200,0,229.119,
1,45,OK,idm2,200,0,198.705,
1,35,OK,idm2,200,0,301.43,
1,40,OK,idm2,200,0,330.639,
1,41,OK,idm2,200,0,322.586,
1,46,OK,idm2,200,0,288.339,
1,51,OK,idm2,200,0,221.011,
1,52,OK,idm2,200,0,195.75,
1,47,OK,idm2,200,0,296.742,
1,53,OK,idm2,200,0,200.626,
1,43,OK,idm2,200,0,363.147,
1,56,OK,idm2,200,0,194.941,
1,44,OK,idm2,200,0,343.123,
1,48,OK,idm2,200,0,314.091,
1,54,OK,idm2,200,0,218.843,
1,55,OK,idm2,200,0,224.695,
1,49,OK,idm2,200,0,347.801,
1,58,OK,idm2,200,0,212.622,
1,59,OK,idm2,200,0,216.315,
1,60,OK,idm2,200,0,214.455,
1,50,OK,idm2,200,0,396.199,
1,64,OK,idm2,200,0,189.248,
1,65,OK,idm2,200,0,226.752,
1,66,OK,idm2,200,0,227.106,
1,68,OK,idm2,200,0,216.085,
1,57,OK,idm2,200,0,364.57,
1,71,OK,idm2,200,0,218.23,
1,73,OK,idm2,200,0,205.864,
1,61,OK,idm2,200,0,350.282,
1,67,OK,idm2,200,0,301.327,
1,62,OK,idm2,200,0,333.148,
1,72,OK,idm2,200,0,289.098,
1,78,OK,idm2,200,0,236.233,
1,76,OK,idm2,200,0,246.615,
1,79,OK,idm2,200,0,209.526,
1,63,OK,idm2,200,0,376.315,
1,70,OK,idm2,200,0,335.711,
1,69,OK,idm2,200,0,341.279,
1,74,OK,idm2,200,0,316.219,
1,75,OK,idm2,200,0,310.523,
1,77,OK,idm2,200,0,320.857,
1,80,OK,idm2,200,0,250.751,
1,81,OK,idm2,200,0,226.95,
1,82,OK,idm2,200,0,246.3,
1,84,OK,idm2,200,0,237.793,
1,85,OK,idm2,200,0,226.049,
1,86,OK,idm2,200,0,229.437,
1,87,OK,idm2,200,0,222.061,
1,96,OK,idm2,200,0,168.4,
1,91,OK,idm2,200,0,201.803,
1,89,OK,idm2,200,0,209.395,
1,95,OK,idm2,200,0,192.631,
1,93,OK,idm2,200,0,209.934,
1,92,OK,idm2,200,0,210.492,
1,83,OK,idm2,200,0,333.876,
1,90,OK,idm2,200,0,232.765,
1,88,OK,idm2,200,0,270.188,
1,94,OK,idm2,200,0,221.246,
1,100,OK,idm2,200,0,153.215,
1,98,OK,idm2,200,0,196.856,
1,97,OK,idm2,200,0,217.411,
1,99,OK,idm2,200,0,166.997,
2,3,OK,idm2,200,0,126.027,
2,2,OK,idm2,200,0,144.725,
2,6,OK,idm2,200,0,107.782,
2,1,OK,idm2,200,0,74.287,
2,4,OK,idm2,200,0,169.963,
2,5,OK,idm2,200,0,184.896,
2,8,OK,idm2,200,0,185.31,
2,10,OK,idm2,200,0,176.928,
2,9,OK,idm2,200,0,207.978,
2,7,OK,idm2,200,0,243.001,
2,16,OK,idm2,200,0,191.438,
2,12,OK,idm2,200,0,223.979,
2,11,OK,idm2,200,0,238.413,
2,14,OK,idm2,200,0,225.561,
2,13,OK,idm2,200,0,248.155,
2,18,OK,idm2,200,0,203.108,
2,15,OK,idm2,200,0,248.394,
2,20,OK,idm2,200,0,210.186,
2,21,OK,idm2,200,0,206.092,
2,19,OK,idm2,200,0,223.79,
2,22,OK,idm2,200,0,211.178,
2,17,OK,idm2,200,0,309.291,
2,24,OK,idm2,200,0,235.248,
2,31,OK,idm2,200,0,193.576,
2,30,OK,idm2,200,0,211.807,
2,32,OK,idm2,200,0,200.715,
2,34,OK,idm2,200,0,198.491,
2,36,OK,idm2,200,0,190.077,
2,25,OK,idm2,200,0,319.448,
2,23,OK,idm2,200,0,366.085,
2,27,OK,idm2,200,0,317.387,
2,28,OK,idm2,200,0,314.767,
2,29,OK,idm2,200,0,294.196,
2,38,OK,idm2,200,0,213.204,
2,39,OK,idm2,200,0,211.208,
2,33,OK,idm2,200,0,285.378,
2,41,OK,idm2,200,0,209.881,
2,26,OK,idm2,200,0,382.983,
2,35,OK,idm2,200,0,289.139,
2,40,OK,idm2,200,0,249.26,
2,37,OK,idm2,200,0,295.418,
2,42,OK,idm2,200,0,245.731,
2,45,OK,idm2,200,0,205.785,
2,46,OK,idm2,200,0,208.865,
2,44,OK,idm2,200,0,228.603,
2,48,OK,idm2,200,0,201.08,
2,43,OK,idm2,200,0,297.112,
2,49,OK,idm2,200,0,215.784,
2,47,OK,idm2,200,0,226.184,
2,52,OK,idm2,200,0,244.131,
2,54,OK,idm2,200,0,233.526,
2,55,OK,idm2,200,0,234.972,
2,57,OK,idm2,200,0,227.314,
2,51,OK,idm2,200,0,277.645,
2,53,OK,idm2,200,0,292.336,
2,58,OK,idm2,200,0,275.686,
2,50,OK,idm2,200,0,354.423,
2,63,OK,idm2,200,0,191.249,
2,68,OK,idm2,200,0,179.923,
2,60,OK,idm2,200,0,301.879,
2,67,OK,idm2,200,0,197.216,
2,56,OK,idm2,200,0,338.704,
2,64,OK,idm2,200,0,226.225,
2,62,OK,idm2,200,0,273.211,
2,65,OK,idm2,200,0,236.374,
2,61,OK,idm2,200,0,317.022,
2,69,OK,idm2,200,0,220.413,
2,59,OK,idm2,200,0,365.873,
2,66,OK,idm2,200,0,265.378,
2,72,OK,idm2,200,0,183.33,
2,75,OK,idm2,200,0,177.391,
2,71,OK,idm2,200,0,221.63,
2,74,OK,idm2,200,0,219.534,
2,73,OK,idm2,200,0,245.447,
2,78,OK,idm2,200,0,215.206,
2,81,OK,idm2,200,0,190.054,
2,79,OK,idm2,200,0,199.948,
2,83,OK,idm2,200,0,232.897,
2,85,OK,idm2,200,0,218.869,
2,87,OK,idm2,200,0,224.2,
2,70,OK,idm2,200,0,397.711,
2,76,OK,idm2,200,0,316.6,
