round,request,status,node,http_code,curl_rc,duration_ms,error
1,6,OK,idm1,200,0,97.268,
1,3,OK,idm1,200,0,96.871,
1,1,OK,idm2,200,0,98.716,
1,2,OK,idm1,200,0,95.053,
1,5,OK,idm2,200,0,108.966,
1,10,OK,idm2,200,0,132.384,
1,9,OK,idm1,200,0,145.788,
1,4,OK,idm2,200,0,219.051,
1,19,OK,idm1,200,0,146.028,
1,11,OK,idm2,200,0,223.604,
1,7,OK,idm2,200,0,282.712,
1,23,OK,idm1,200,0,171.66,
1,17,OK,idm2,200,0,194.42,
1,8,OK,idm1,200,0,272.051,
1,18,OK,idm2,200,0,206.224,
1,22,OK,idm1,200,0,195.612,
1,12,OK,idm1,200,0,254.286,
1,13,OK,idm2,200,0,277.206,
1,27,OK,idm1,200,0,188.756,
1,26,OK,idm2,200,0,191.476,
1,16,OK,idm1,200,0,272.136,
1,14,OK,idm2,200,0,291.146,
1,24,OK,idm1,200,0,266.463,
1,20,OK,idm1,200,0,328.878,
1,15,OK,idm2,200,0,363.546,
1,25,OK,idm2,200,0,295.522,
1,28,OK,idm2,200,0,267.714,
1,36,OK,idm2,200,0,181.036,
1,32,OK,idm2,200,0,202.247,
1,30,OK,idm1,200,0,222.08,
1,21,OK,idm1,200,0,399.126,
1,37,OK,idm2,200,0,200.335,
1,33,OK,idm1,200,0,229.538,
1,35,OK,idm1,200,0,227.404,
1,29,OK,idm1,200,0,307.026,
1,39,OK,idm2,200,0,201.178,
1,40,OK,idm2,200,0,201.049,
1,44,OK,idm2,200,0,217.773,
1,31,OK,idm2,200,0,363.753,
1,38,OK,idm1,200,0,309.682,
1,46,OK,idm1,200,0,212.757,
1,34,OK,idm1,200,0,382.121,
1,51,OK,idm2,200,0,189.177,
1,41,OK,idm1,200,0,337.156,
1,47,OK,idm1,200,0,225.883,
1,45,OK,idm1,200,0,266.283,
1,43,OK,idm2,200,0,351.454,
1,57,OK,idm1,200,0,193.881,
1,53,OK,idm1,200,0,236.064,
1,56,OK,idm2,200,0,197.66,
1,49,OK,idm2,200,0,270.143,
1,42,OK,idm1,200,0,392.743,
1,54,OK,idm2,200,0,286.925,
1,48,OK,idm2,200,0,340.694,
1,50,OK,idm1,200,0,329.128,
1,55,OK,idm2,200,0,328.155,
1,60,OK,idm2,200,0,222.251,
1,58,OK,idm1,200,0,252.79,
1,52,OK,idm1,200,0,391.454,
1,65,OK,idm1,200,0,217.471,
1,61,OK,idm1,200,0,261.92,
1,69,OK,idm2,200,0,184.385,
1,70,OK,idm1,200,0,205.2,
1,62,OK,idm2,200,0,295.251,
1,67,OK,idm2,200,0,215.652,
1,59,OK,idm2,200,0,324.447,
1,64,OK,idm2,200,0,304.511,
1,75,OK,idm1,200,0,188.273,
1,73,OK,idm2,200,0,216.128,
1,63,OK,idm1,200,0,350.807,
1,72,OK,idm1,200,0,295.968,
1,68,OK,idm2,200,0,311.557,
1,66,OK,idm1,200,0,355.992,
1,76,OK,idm2,200,0,193.92,
1,77,OK,idm1,200,0,199.614,
1,71,OK,idm2,200,0,325.314,
1,80,OK,idm1,200,0,197.862,
1,74,OK,idm1,200,0,306.188,
1,78,OK,idm2,200,0,234.234,
1,82,OK,idm1,200,0,221.461,
1,85,OK,idm1,200,0,217.47,
1,84,OK,idm2,200,0,262.055,
1,88,OK,idm1,200,0,221.173,
1,79,OK,idm2,200,0,346.798,
1,97,OK,idm2,200,0,164.252,
1,96,OK,idm2,200,0,215.202,
1,90,OK,idm1,200,0,261.615,
1,99,OK,idm2,200,0,178.425,
1,89,OK,idm2,200,0,284.239,
1,81,OK,idm1,200,0,391.731,
1,86,OK,idm2,200,0,350.459,
1,92,OK,idm2,200,0,265.939,
1,83,OK,idm2,200,0,369.651,
1,93,OK,idm1,200,0,270.824,
1,91,OK,idm2,200,0,302.238,
1,94,OK,idm1,200,0,294.271,
1,98,OK,idm1,200,0,237.196,
1,100,OK,idm2,200,0,212.796,
1,95,OK,idm1,200,0,293.51,
1,87,OK,idm1,200,0,368.53,
2,5,OK,idm1,200,0,121.223,
2,2,OK,idm1,200,0,94.251,
2,1,OK,idm2,200,0,126.778,
2,4,OK,idm1,200,0,200.462,
2,9,OK,idm2,200,0,168.874,
2,3,OK,idm2,200,0,205.525,
2,6,OK,idm2,200,0,194.923,
2,7,OK,idm1,200,0,199.717,
2,11,OK,idm2,200,0,160.915,
2,8,OK,idm1,200,0,209.542,
2,14,OK,idm2,200,0,201.05,
2,16,OK,idm2,200,0,201.786,
2,17,OK,idm1,200,0,193.273,
2,18,OK,idm2,200,0,200.209,
2,10,OK,idm1,200,0,285.777,
2,21,OK,idm1,200,0,186.664,
2,20,OK,idm1,200,0,209.441,
2,13,OK,idm1,200,0,267.851,
2,22,OK,idm1,200,0,209.531,
2,23,OK,idm1,200,0,192.549,
2,12,OK,idm2,200,0,317.941,
2,29,OK,idm2,200,0,184.225,
2,26,OK,idm1,200,0,232.479,
2,32,OK,idm2,200,0,172.795,
2,34,OK,idm1,200,0,170.941,
2,37,OK,idm2,200,0,155.873,
