epoch_ms,timestamp,status,duration_ms
1783904606463,2026-07-13 01:03:26.467,OK,28.28
1783904606767,2026-07-13 01:03:26.771,OK,35.52
1783904607078,2026-07-13 01:03:27.082,OK,28.95
1783904607383,2026-07-13 01:03:27.386,OK,33.83
1783904607694,2026-07-13 01:03:27.699,OK,25.44
1783904607992,2026-07-13 01:03:27.996,OK,33.43
1783904608302,2026-07-13 01:03:28.306,OK,23.22
1783904608599,2026-07-13 01:03:28.603,OK,35.72
1783904608911,2026-07-13 01:03:28.915,OK,34.80
1783904609222,2026-07-13 01:03:29.227,OK,37.77
1783904609536,2026-07-13 01:03:29.539,OK,26.17
1783904609834,2026-07-13 01:03:29.837,OK,32.63
1783904610139,2026-07-13 01:03:30.143,OK,28.24
1783904610445,2026-07-13 01:03:30.448,OK,31.22
1783904610749,2026-07-13 01:03:30.752,OK,25.68
1783904611047,2026-07-13 01:03:31.050,OK,33.60
1783904611358,2026-07-13 01:03:31.362,OK,23.10
1783904611654,2026-07-13 01:03:31.657,OK,32.87
1783904611962,2026-07-13 01:03:31.966,FAIL,3022.37
1783904615254,2026-07-13 01:03:35.258,OK,35.27
1783904615561,2026-07-13 01:03:35.565,FAIL,3020.57
1783904618853,2026-07-13 01:03:38.856,OK,34.57
1783904619161,2026-07-13 01:03:39.165,OK,35.52
1783904619474,2026-07-13 01:03:39.477,OK,35.28
1783904619781,2026-07-13 01:03:39.784,OK,32.84
1783904620087,2026-07-13 01:03:40.091,OK,34.06
1783904620395,2026-07-13 01:03:40.399,OK,31.11
1783904620700,2026-07-13 01:03:40.703,OK,32.53
1783904621009,2026-07-13 01:03:41.013,OK,32.54
1783904621314,2026-07-13 01:03:41.318,OK,35.85
1783904621622,2026-07-13 01:03:41.625,OK,36.11
1783904621933,2026-07-13 01:03:41.936,OK,31.45
1783904622236,2026-07-13 01:03:42.240,OK,33.61
1783904622545,2026-07-13 01:03:42.548,OK,35.26
1783904622858,2026-07-13 01:03:42.864,OK,42.77
1783904623179,2026-07-13 01:03:43.182,OK,31.86
1783904623485,2026-07-13 01:03:43.488,OK,31.15
1783904623790,2026-07-13 01:03:43.793,OK,29.94
1783904624094,2026-07-13 01:03:44.098,OK,31.08
1783904624401,2026-07-13 01:03:44.404,OK,35.18
1783904624710,2026-07-13 01:03:44.713,OK,31.60
1783904625015,2026-07-13 01:03:45.018,OK,30.72
1783904625324,2026-07-13 01:03:45.327,OK,33.66
1783904625632,2026-07-13 01:03:45.635,OK,32.46
1783904625945,2026-07-13 01:03:45.948,OK,33.09
1783904626251,2026-07-13 01:03:46.254,OK,32.98
1783904626557,2026-07-13 01:03:46.560,OK,34.80
1783904626863,2026-07-13 01:03:46.867,OK,33.16
1783904627173,2026-07-13 01:03:47.176,OK,31.49
1783904627476,2026-07-13 01:03:47.480,OK,38.37
1783904627789,2026-07-13 01:03:47.792,OK,39.20
1783904628104,2026-07-13 01:03:48.107,OK,34.70
1783904628412,2026-07-13 01:03:48.415,OK,34.14
1783904628736,2026-07-13 01:03:48.739,OK,35.46
1783904629045,2026-07-13 01:03:49.048,OK,35.12
1783904629355,2026-07-13 01:03:49.359,OK,33.17
1783904629663,2026-07-13 01:03:49.666,OK,38.58
1783904629976,2026-07-13 01:03:49.979,OK,37.26
1783904630286,2026-07-13 01:03:50.290,OK,33.85
1783904630594,2026-07-13 01:03:50.597,OK,33.17
1783904630900,2026-07-13 01:03:50.904,OK,34.65
1783904631209,2026-07-13 01:03:51.212,OK,33.08
1783904631518,2026-07-13 01:03:51.521,OK,32.46
1783904631823,2026-07-13 01:03:51.827,OK,33.84
1783904632129,2026-07-13 01:03:52.132,OK,34.00
1783904632435,2026-07-13 01:03:52.438,OK,31.35
1783904632738,2026-07-13 01:03:52.745,OK,35.63
1783904633060,2026-07-13 01:03:53.064,OK,35.23
1783904633376,2026-07-13 01:03:53.379,OK,32.93
1783904633681,2026-07-13 01:03:53.684,OK,31.27
1783904633990,2026-07-13 01:03:53.993,OK,34.80
1783904634301,2026-07-13 01:03:54.304,OK,33.20
1783904634608,2026-07-13 01:03:54.611,OK,35.00
1783904634917,2026-07-13 01:03:54.921,OK,33.59
1783904635225,2026-07-13 01:03:55.228,OK,35.08
1783904635532,2026-07-13 01:03:55.535,OK,32.41
1783904635838,2026-07-13 01:03:55.841,OK,32.75
1783904636170,2026-07-13 01:03:56.174,OK,34.87
1783904636479,2026-07-13 01:03:56.482,OK,32.29
1783904636784,2026-07-13 01:03:56.787,OK,34.96
